Drug name,mm,mp,t,p,c,y6,Predicted
Aprepitant,534.4,525,308,12,768,9,7.334745875
Aprepitant,534.4,525,308,15,816,12.8,10.6372018
Aprepitant,534.4,525,308,18,848,18.6,13.90292413
Aprepitant,534.4,525,308,21,874,21.2,17.31468258
Aprepitant,534.4,525,308,24,896,24.5,20.92988628
Aprepitant,534.4,525,308,27,914,33.5,24.74811339
Aprepitant,534.4,525,308,30,930,37.8,28.86331576
Aprepitant,534.4,525,308,33,944,41.4,33.2928591
Aprepitant,534.4,525,318,12,660,6.7,10.86852006
Aprepitant,534.4,525,318,15,743,10.3,15.92309183
Aprepitant,534.4,525,318,18,790,13.8,20.63603307
Aprepitant,534.4,525,318,21,824,28.6,25.38389563
Aprepitant,534.4,525,318,24,850,34.8,30.24734534
Aprepitant,534.4,525,318,27,872,37.1,35.37038564
Aprepitant,534.4,525,318,30,891,41.7,40.80050967
Aprepitant,534.4,525,318,33,907,45.6,46.53032862
Aprepitant,534.4,525,328,12,506,4.5,13.4667172
Aprepitant,534.4,525,328,15,654,12.6,21.32479887
Aprepitant,534.4,525,328,18,724,20.3,28.08407744
Aprepitant,534.4,525,328,21,769,34.8,34.59052571
Aprepitant,534.4,525,328,24,802,37.8,41.11465244
Aprepitant,534.4,525,328,27,829,47.8,47.86387347
Aprepitant,534.4,525,328,30,851,53.7,54.83855216
Aprepitant,534.4,525,328,33,870,55.6,62.14074152
Aprepitant,534.4,525,338,12,384,8.3,16.92590934
Aprepitant,534.4,525,338,15,555,13.7,26.85854383
Aprepitant,534.4,525,338,18,651,27.9,36.20359354
Aprepitant,534.4,525,338,21,710,43.5,44.99998325
Aprepitant,534.4,525,338,24,751,64.2,53.58436062
Aprepitant,534.4,525,338,27,783,70.5,62.25342363
Aprepitant,534.4,525,338,30,810,73.4,71.18226105
Aprepitant,534.4,525,338,33,831,76.7,80.17360925
Azathioprine,277.263,526,308,12,769,5.1,5.29198421
Azathioprine,277.263,526,308,15,817,6.4,7.805026042
Azathioprine,277.263,526,308,18,849,6.7,9.928426171
Azathioprine,277.263,526,308,21,875,7.4,11.5664169
Azathioprine,277.263,526,308,24,896,8.1,12.74545359
Azathioprine,277.263,526,308,27,914,8.6,13.58243083
Azathioprine,277.263,526,318,12,661,4,4.842515276
Azathioprine,277.263,526,318,15,744,7.1,7.867298188
Azathioprine,277.263,526,318,18,791,7.7,10.67705737
Azathioprine,277.263,526,318,21,824,9.4,13.03013159
Azathioprine,277.263,526,318,24,851,11.2,14.84211323
Azathioprine,277.263,526,318,27,872,12.5,16.20984054
Azathioprine,277.263,526,328,12,509,3.4,5.060077615
Azathioprine,277.263,526,328,15,656,8.1,8.360782629
Azathioprine,277.263,526,328,18,725,9.6,11.98235507
Azathioprine,277.263,526,328,21,769,11.9,15.33790643
Azathioprine,277.263,526,328,24,802,13.4,18.15665398
Azathioprine,277.263,526,328,27,829,15.6,20.50025567
Azathioprine,277.263,526,338,12,388,2.7,4.492548047
Azathioprine,277.263,526,338,15,557,9,9.073192672
Azathioprine,277.263,526,338,18,652,12,13.74355476
Azathioprine,277.263,526,338,21,710,15,18.49793495
Azathioprine,277.263,526,338,24,751,17.1,22.94030203
Azathioprine,277.263,526,338,27,783,18.3,26.9808996
Capecitabine,359.35,362,308,15.2,818,7.6,5.321450672
Capecitabine,359.35,362,308,18.2,850,11.8,10.02105948
Capecitabine,359.35,362,308,21.2,876,14.6,14.3199362
Capecitabine,359.35,362,308,24.3,897,19.6,18.34414666
Capecitabine,359.35,362,308,27.3,916,22.2,22.47089064
Capecitabine,359.35,362,308,30.4,931,24.9,26.41445638
Capecitabine,359.35,362,308,33.4,946,28.5,30.72077968
Capecitabine,359.35,362,308,35.4,955,30.2,33.62716059
Capecitabine,359.35,362,318,15.2,745,8.4,6.988242382
Capecitabine,359.35,362,318,18.2,792,13.8,13.69137085
Capecitabine,359.35,362,318,21.2,826,21.2,18.95936135
Capecitabine,359.35,362,318,24.3,852,27.2,24.13315131
Capecitabine,359.35,362,318,27.3,875,37.3,30.38723027
Capecitabine,359.35,362,318,30.4,893,41.8,37.41787706
Capecitabine,359.35,362,318,33.4,910,51.4,45.75461024
Capecitabine,359.35,362,318,35.4,919,57.1,51.32594465
Capecitabine,359.35,362,328,15.2,657,3.7,6.822328006
Capecitabine,359.35,362,328,18.2,726,12.5,16.09430216
Capecitabine,359.35,362,328,21.2,771,22.8,22.2256552
